Designator,Mid X,Mid Y,Rotation,Layer
C1,70.0,-60.5,180.0,top
D1,73.5,-61.0,90.0,top
D2,64.5,-60.5,90.0,top
D3,73.5,-67.5,90.0,top
D4,64.5,-67.5,90.0,top
J1,72.0,-51.0,90.0,top
J2,71.0,-46.5,90.0,top
J3,70.0,-51.0,90.0,top
J4,69.0,-46.5,90.0,top
J5,68.0,-51.0,90.0,top
J6,67.0,-46.5,90.0,top
J7,66.0,-51.0,90.0,top
R1,73.5,-64.0,-90.0,top
R2,64.5,-63.5,-90.0,top
R3,73.5,-70.5,-90.0,top
R4,64.5,-70.5,-90.0,top
TH1,69.0,-57.5,0.0,top
U1,69.0,-64.0,0.0,top
